"","country","code","Gender","Age","Household.Income","mean_rating"
"86","Argentina","ARG","Male","30-44","$100,000 - $149,999",3.71428571428571
"87","Argentina","ARG","Male","30-44","$150,000+",3.55555555555556
"88","Argentina","ARG","Male","30-44","$25,000 - $49,999",4.30769230769231
"89","Argentina","ARG","Male","30-44","$50,000 - $99,999",3.61111111111111
"90","Argentina","ARG","Male","30-44",NA,3.75
"91","Argentina","ARG","Male","45-60","$0 - $24,999",3.33333333333333
"92","Argentina","ARG","Male","45-60","$100,000 - $149,999",3.69230769230769
"93","Argentina","ARG","Male","45-60","$150,000+",3.73333333333333
"94","Argentina","ARG","Male","45-60","$25,000 - $49,999",3.33333333333333
"95","Argentina","ARG","Male","45-60","$50,000 - $99,999",3.41666666666667
"96","Argentina","ARG","Male","45-60",NA,3.64285714285714
"97","Australia","AUS","Female","> 60","$0 - $24,999",3
"98","Australia","AUS","Female","> 60","$100,000 - $149,999",3.25
"99","Australia","AUS","Female","> 60","$150,000+",3.57142857142857
"100","Australia","AUS","Female","> 60","$25,000 - $49,999",3.16666666666667
"101","Australia","AUS","Female","> 60","$50,000 - $99,999",3.23809523809524
"102","Australia","AUS","Female","> 60",NA,3.45833333333333
"103","Australia","AUS","Female","18-29","$0 - $24,999",3
"104","Australia","AUS","Female","18-29","$100,000 - $149,999",3.33333333333333
"105","Australia","AUS","Female","18-29","$150,000+",3.5
"106","Australia","AUS","Female","18-29","$25,000 - $49,999",3.36363636363636
"107","Australia","AUS","Female","18-29","$50,000 - $99,999",3.6
"108","Australia","AUS","Female","18-29",NA,3
"109","Australia","AUS","Female","30-44","$0 - $24,999",3.8
"110","Australia","AUS","Female","30-44","$100,000 - $149,999",3.11111111111111
"111","Australia","AUS","Female","30-44","$150,000+",3
"112","Australia","AUS","Female","30-44","$25,000 - $49,999",3.33333333333333
"113","Australia","AUS","Female","30-44","$50,000 - $99,999",3.18181818181818
"114","Australia","AUS","Female","30-44",NA,3.28571428571429
"115","Australia","AUS","Female","45-60","$0 - $24,999",3.66666666666667
"116","Australia","AUS","Female","45-60","$100,000 - $149,999",3.2
"117","Australia","AUS","Female","45-60","$150,000+",3.2
"118","Australia","AUS","Female","45-60","$25,000 - $49,999",3
"119","Australia","AUS","Female","45-60","$50,000 - $99,999",3.13333333333333
